sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
ss	0.975	0.025	0.9625	0.926875	17.46539	17.86746	13.35513	15.41026	18	-0.402073	-0.534615	-0.132542	4.110256	-2.457201	17.47098	17.73929	11.47638	14.47368	19	-0.26831	-1.529015	-1.260705	5.994602	-3.265611	0.148892	0.05	0.04	0.07	0.8	NA	NA	NA	NA	NA	NA	NA	NA	-0.4876833	-0.2343853	0.0039405	0.00156313
ss	0.275	0.275	0.0375	0.002222	18.60513	20.45354	13.39487	16	16	-1.848409	2.605128	4.453537	5.210256	-4.453537	11.16364	12.63243	10.43636	10.8	12	-1.468798	-0.836364	0.632435	0.727273	-1.832435	0.140323	0.0325	0.03	0.0375	0.923077	0.0152867	0.00881415	41.0182	26.1342	0.5506248	0.00647255	0.4507711	14.884	-0.4648508	-0.1316603	0.00335277	0.00076726
ss	0.95	0.05	0.95	0.926829	5.032051	5.877453	4.865385	4.948718	5	-0.845402	0.032051	0.877453	0.166667	-0.928735	4.789474	5.236118	2.940256	3.864865	5	-0.446644	-0.210526	0.236118	1.849218	-1.371253	0.241213	0.1025	0.08	0.1475	0.780488	NA	NA	51.8208	163.5	NA	NA	-1.149021	111.6792	0.4223419	0.309466	0.0104653	0.0081942
ss	0.05	0.05	-0.425	0.180625	10.75769	14.10589	12.78077	11.76923	19	-3.348195	-8.242308	-4.894112	-2.023077	-2.336657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.100261	0.03875	0.02875	0.04875	0.741935	0.00084819	0.0105895	2	21.9616	-2.524514	0.00974131	-2.396148	19.9616	-0.2850065	-0.5770093	0.0033354	0.0081319
ss	0.925	0.075	-0.075	0.051282	19.29103	24.9204	23.2218	21.25641	30	-5.629376	-10.70897	-5.079599	-3.930769	-3.663991	19.18919	23.71508	21.42192	20.30556	26	-4.52589	-6.810811	-2.284921	-2.232733	-3.409523	0.140596	0.03375	0.028125	0.04125	0.833333	0.00967991	0.0175189	29.5563	48	-0.5932277	0.00783899	-0.4849041	18.4437	-0.2605658	-0.2081107	0.00240395	0.00187779
ss	0.75	0.25	0.725	0.599432	5.497436	8.228434	3.015385	4.25641	13	-2.730999	-7.502564	-4.771566	2.482051	-3.972024	5.144828	7.572595	2.303448	3.724138	14	-2.427767	-8.855172	-6.427405	2.841379	-3.848457	0.034687	0.0475	0.0375	0.0675	0.789474	0.0271309	0.0469909	36.8839	50.1667	-0.5492807	0.01986	-0.3075763	13.2828	-0.3610975	-0.3667819	0.0070764	0.0070487
ss	0.95	0.05	0.95	0.926829	15.44103	15.98667	10.91795	13.17949	12	-0.545647	3.441026	3.986673	4.523077	-2.807185	14.95733	15.47035	9.312945	12.13514	17	-0.513022	-2.042674	-1.529652	5.644381	-3.335213	0.091287	0.0675	0.045	0.0975	0.666667	0.0110996	0.107472	31.9431	136.5	-2.270321	0.0963724	-1.452368	104.5569	-0.2728569	-0.2574417	0.00242545	0.00212373
ss	0.125	0.125	0.125	0.086957	13.34615	21.15883	18.34615	15.84615	36	-7.812678	-22.65385	-14.84117	-5	-5.312678	17.6	15.36	16.9	17.25	6	2.24	11.6	9.36	0.7	1.89	0.10127	0.04125	0.035625	0.0525	0.863636	0.0404974	0.00987501	52.95	38.3084	1.41123	0.03062239	0.3236789	14.6416	-0.9023697	-0.7809232	0.01141751	0.00929028
ss	1	0	0	NA	10.5359	13.63569	5.566667	8.051282	24	-3.099794	-13.4641	-10.36431	4.969231	-5.584409	10.5359	13.63569	5.566667	8.051282	24	-3.099794	-13.4641	-10.36431	4.969231	-5.584409	0.087202	0.05125	0.035625	0.07	0.695122	NA	NA	NA	NA	NA	NA	NA	NA	-0.3811737	-0.6782489	0.00428992	0.00912293
ss	0	0	0	NA	6.048718	9.168827	4.412821	5.230769	18	-3.120109	-11.95128	-8.831173	1.635897	-3.938058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.106299	0.04875	0.03875	0.06875	0.794872	NA	NA	NA	NA	NA	NA	NA	NA	-0.166319	-0.3777678	0.0049385	0.0129784
ss	0.925	0.075	0.9125	0.855584	10.5	12.6953	10.73077	10.61538	26	-2.195299	-15.5	-13.3047	-0.230769	-2.079914	10.02402	10.30049	8.975976	9.5	16	-0.276465	-5.975976	-5.699511	1.048048	-0.800489	0.101797	0.06125	0.045625	0.0925	0.744898	0.011783	0.00975311	28.78	22.6667	0.1890716	0.00202989	0.2387838	6.1133	-0.2094186	-0.5118763	0.0017377	0.00572877
ss	0.025	0.025	-0.0375	0.026316	13.0641	18.10256	13.29487	13.17949	37	-5.038453	-23.9359	-18.89744	-0.230769	-4.923069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.141743	0.04875	0.03875	0.06875	0.794872	NA	NA	NA	NA	NA	NA	NA	NA	-0.2066771	-0.1151134	0.0029018	0.0014989
ss	1	0	0	NA	11.00513	11.28471	7.353846	9.179487	11	-0.279582	0.005128	0.28471	3.651282	-2.105223	11.00513	11.28471	7.353846	9.179487	11	-0.279582	0.005128	0.28471	3.651282	-2.105223	0.119155	0.0675	0.036875	0.09375	0.546296	NA	NA	NA	NA	NA	NA	NA	NA	-0.1409582	-0.5390348	0.0018695	0.0093365
ss	0.95	0.05	0.9375	0.890788	20.49231	19.74824	16.84103	18.66667	19	0.744065	1.492308	0.748243	3.651282	-1.081576	20.70128	19.27843	14.70412	17.7027	17	1.422847	3.70128	2.278433	5.997155	-1.575731	0.162175	0.055	0.039375	0.08	0.715909	0.00679353	0.0101289	28.6999	35	-0.399422	0.00333537	-0.1984544	6.3001	-0.2903914	-0.03452081	0.00198532	0.00018785
